edge_id,start_coord,end_coord,osm_osmid,osm_highway,osm_name,osm_oneway,osm_reversed,osm_length,osm_geometry,inferred_length,inferred_length_source,inferred_width,inferred_width_source,inferred_curb_norm,inferred_curb_source,inferred_crossing,inferred_crossing_source,inferred_path_type,inferred_path_type_source,osm_maxspeed,osm_bridge,osm_lanes,osm_tunnel,osm_est_width,osm_width,osm_service,osm_access,osm_ref
197,"(0.7981401593153782, 0.32007144983916813)","(0.8416911746040199, 0.32764935630811737)",7370813,footway,,False,True,45.25158231492138,"LINESTRING (629926.1917783548 5803460.580584547, 629932.1241623964 5803458.054989091, 629969.7224632691 5803468.162002603)",45.25158231492138,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,,,,,,,,
202,"(0.8416911746040199, 0.32764935630811737)","(0.8722711869191987, 0.32878955637338264)",7370813,footway,,False,True,39.898766169041245,"LINESTRING (629969.7224632691 5803468.162002603, 629987.7459543659 5803458.465697133, 629993.7716703016 5803457.567495941, 630000.2882003007 5803469.302731034)",39.898766169041245,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,,,,,,,,
205,"(0.8416911746040199, 0.32764935630811737)","(0.8491469481242658, 0.34109466021656937)",7370817,footway,,False,False,15.38017926307817,"LINESTRING (629969.7224632691 5803468.162002603, 629974.3792714285 5803475.763713924, 629977.1747563041 5803481.613537039)",15.38017926307817,OSM:length,1.2,Inferred:highway=footway (typical sidewalk width),-0.04,Inferred:highway=footway (sidewalks typically lowered),0,Default: no crossing indicators found,0,OSM:highway=footway (walk_lane),,,,,,,,,
203,"(0.8491469481242658, 0.34109466021656937)","(0.8722711869191987, 0.32878955637338264)",7370801,residential,Plantage Muidergracht,False,False,26.124307699141877,,26.124307699141877,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,,,,,,,
215,"(0.817960872006209, 0.3572253237026574)","(0.8491469481242658, 0.34109466021656937)",7370801,residential,Plantage Muidergracht,False,False,35.01671136930475,"LINESTRING (629977.1747563041 5803481.613537039, 629967.9851101984 5803486.234420463, 629946.0032383909 5803497.751675443)",35.01671136930475,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,,,,,,,
222,"(0.34232206430992246, 0.3656544264349523)","(0.3444648645029547, 0.36840271383425055)",27311282,tertiary,Waterlooplein,False,False,3.479987578091427,,3.479987578091427,OSM:length,1.0,Default:highway=tertiary (fallback width),0.04,Inferred:highway=tertiary (main roads typically raised),0,Default: no crossing indicators found,0,Default:highway=tertiary (walk_lane fallback),30,,,,,,,,
225,"(0.2554102593940059, 0.33081232394027843)","(0.34232206430992246, 0.3656544264349523)","[7371496, 7371497, 38322374]",tertiary,Blauwbrug,False,True,95.0945453433374,"LINESTRING (629470.5864671945 5803506.184684205, 629467.5601402244 5803503.133639888, 629463.3918359147 5803499.985798277, 629460.086415407 5803497.96242862, 629446.9135736434 5803492.674793439, 629402.1484773457 5803472.690008318, 629397.536353837 5803471.133153626, 629393.1942609297 5803470.707438741, 629386.4545703381 5803471.042282115, 629383.7152342265 5803471.326435948)",95.0945453433374,OSM:length,1.0,Default:highway=tertiary (fallback width),0.04,Inferred:highway=tertiary (main roads typically raised),0,Default: no crossing indicators found,0,Default:highway=tertiary (walk_lane fallback),30,yes,,,,,,,
230,"(0.33758337192785287, 0.37115867245566847)","(0.34232206430992246, 0.3656544264349523)",7371552,residential,Amstel,False,False,7.256108033264393,"LINESTRING (629470.5864671945 5803506.184684205, 629466.7879760242 5803510.736780816, 629465.8499869168 5803511.6914808825)",7.256108033264393,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,1,,,,,,
676,"(0.507151157299699, 0.4819387345583921)","(0.5494203954566872, 0.38141092275746946)",23289010,primary,Jonas Daniël Meijerplein,False,True,109.24733996195492,"LINESTRING (629677.5881212244 5803521.948482057, 629645.1824832124 5803605.709964134, 629640.8626243866 5803614.276949562, 629638.2351985583 5803618.592651678, 629635.3386150858 5803622.52287825)",109.24733996195492,OSM:length,1.0,Default:highway=primary (fallback width),0.04,Inferred:highway=primary (main roads typically raised),0,Default: no crossing indicators found,0,Default:highway=primary (walk_lane fallback),50,,2,,,,,,
216,"(0.817960872006209, 0.3572253237026574)","(0.8638032467256387, 0.447025787308411)",7370819,residential,Plantage Parklaan,False,False,100.74218986737753,,100.74218986737753,OSM:length,1.0,Default:highway=residential (fallback width),-0.04,Default:highway=residential (pedestrian paths default lowered),0,Default: no crossing indicators found,0,Default:highway=residential (walk_lane fallback),30,,,,,,,,
